Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Grayson Rodriguez","SP","BAL",10,2,"21.8972222",,"Tail","60 / 60","50 / 55","55 / 55","55 / 60","40 / 50",2400,2650,"90-95","97","60","sa3008130"
"Max Meyer","SP","MIA",19,1,"22.575",,"Sink/Tail","55 / 60","60 / 60","","45 / 55","30 / 45",2600,2600,"94-98","101","55","sa3014430"
"D.L. Hall","MIRP","BAL",28,3,"23.0555555",,"Tail","60 / 60","","55 / 60","55 / 60","30 / 40",2400,2500,"93-96","98","55","sa3005282"
"Asa Lacy","SP","KCR",29,2,"22.3527777",,"Rise","60 / 70","60 / 70","55 / 60","45 / 50","30 / 45",2200,2400,"93-96","98","55","sa3014423"
"Jack Leiter","SP","TEX",31,1,"21.2222222",,"Rise","55 / 60","50 / 55","55 / 55","40 / 55","30 / 55",2100,2250,"93-97","99","50",
"Reid Detmers","SP","LAA",33,1,"22.2527777",,,"50 / 55","40 / 45","65 / 70","45 / 55","45 / 60",2150,2600,"89-92","94","50","27468"
"Hunter Greene","SP","CIN",34,2,"22.175","4/9/19","Tail","60 / 65","50 / 55","","45 / 55","35 / 60",2300,2325,"95-98","103","50","sa3005315"
"Quinn Priester","SP","PIT",35,2,"21.0666666",,"Rise","55 / 55","","70 / 80","","30 / 45",2150,2500,"94-97","99","50","sa3011297"
"Sixto Sanchez","SP","MIA",36,2,"23.1944444",,"Tail","60 / 60","50 / 50","","60 / 70","50 / 55",2100,2400,"95-99","101","50","19680"
"Emerson Hancock","SP","SEA",38,3,"22.3583333",,"Tail","50 / 55","55 / 60","45 / 50","55 / 60","35 / 55",2450,2200,"93-96","97","50","sa3014456"
"Edward Cabrera","SP","MIA",40,3,"23.4888888",,"Tail","60 / 60","50 / 60","","45 / 55","45 / 50",2250,2300,"93-97","99","50","21690"
"George Kirby","SP","SEA",41,4,"23.6694444",,"Rise","60 / 60","40 / 45","50 / 50","45 / 50","55 / 70",2150,2300,"95-99","100","50","sa3011526"
"Jordan Balazovic","SP","MIN",44,2,"23.0611111",,"Rise","55 / 55","50 / 55","55 / 55","40 / 45","45 / 55",2150,2200,"91-94","96","50","sa918017"
"Matthew Liberatore","SP","STL",45,2,"21.925",,"Sink","45 / 50","45 / 55","60 / 60","50 / 55","35 / 55",2000,2800,"92-95","97","50","sa3008163"
"Roansy Contreras","SP","PIT",49,3,"21.9222222",,"Rise","50 / 55","50 / 55","","50 / 55","45 / 50",2400,2500,"92-95","96","50","22810"
"Daniel Espino","SP","CLE",50,1,"20.7611111",,"Sink/Tail","65 / 65","55 / 60","50 / 55","45 / 55","30 / 50",2250,2600,"94-97","99","50","sa3011495"
"Luis Medina","MIRP","NYY",53,3,"22.4333333",,"Tail","65 / 70","","60 / 70","45 / 55","30 / 40",2500,2350,"94-98","101","50","sa928510"
"Mick Abel","SP","PHI",54,1,"20.1416666",,"Rise/Tail","50 / 60","","50 / 60","45 / 55","25 / 55",2450,2300,"92-94","97","50","sa3014534"
"Matt Allan","SP","NYM",56,4,"20.4777777",,"Rise","55 / 60","","55 / 70","45 / 60","30 / 45",2450,2600,"93-96","97","50","sa3011740"
"Shane Baz","SIRP","TBR",59,3,"22.3111111",,"Rise","60 / 60","50 / 50","50 / 50","55 / 60","45 / 50",2600,2550,"92-97","100","50","22264"
"Cade Cavalli","SP","WSN",60,2,"23.1527777",,"Rise/Tail","70 / 70","45 / 50","","60 / 70","30 / 45",2300,2300,"93-97","101","50","sa3014421"
"Slade Cecconi","SP","ARI",68,4,"22.2916666",,"Rise/Tail","55 / 60","55 / 60","50 / 55","40 / 45","35 / 50",,,"92-96","97","50","sa3014739"
"Miguel Yajure","SP","PIT",69,5,"23.4388888","11/22/16","Cut/Rise","50 / 55","","50 / 50","50 / 55","50 / 60",2250,2600,"91-95","97","50","21111"
"Deivi Garcia","SP","NYY",80,5,"22.3888888",,"Rise","50 / 50","45 / 50","60 / 60","55 / 60","50 / 55",2200,2700,"91-95","97","50","20276"
"Jhoan Duran","SP","MIN",81,4,"23.7527777",,"Sink","60 / 60","","50 / 55","45 / 50","40 / 45",1800,2700,"95-99","101","50","sa873347"
"Gregory Santos","MIRP","SFG",84,5,"22.1138888",,"Cut","60 / 60","60 / 70","","45 / 50","30 / 45",2450,2650,"93-98","100","50","21894"
"Simeon Woods Richardson","SP","MIN",85,5,"21.0333333",,"Cut/Rise","50 / 55","","50 / 50","55 / 60","40 / 55",2300,2350,"90-94","97","50","sa3008423"
"Nick Lodolo","SP","CIN",89,4,"23.6777777",,"Tail","45 / 50","","55 / 55","50 / 55","45 / 55",2250,2400,"91-94","96","50","sa917947"
"Tahnaj Thomas","SP","PIT",90,7,"22.3138888",,"Rise","70 / 80","45 / 55","","30 / 40","35 / 60",2300,2400,"93-98","100","50","sa3003066"
"Hunter Brown","SP","HOU",93,3,"23.1111111",,"Cut/Rise","60 / 60","50 / 55","60 / 70","40 / 50","30 / 45",2300,2500,"92-95","97","50","sa3010571"
"Seth Johnson","SP","TBR",94,6,"23.0555555",,"Rise","55 / 60","50 / 60","45 / 50","40 / 45","30 / 50",2400,2650,"92-97","99","50","sa3011342"
"Aaron Ashby","MIRP","MIL",96,1,"23.375",,"Tail","55 / 60","55 / 60","55 / 60","45 / 50","30 / 40",2050,2300,"94-97","98","50","23550"
"Matt Canterino","MIRP","MIN",97,6,"23.8194444",,"Cut/Rise","50 / 55","55 / 60","50 / 55","55 / 60","40 / 45",2200,2450,"90-93","95","50","sa3011530"
"MacKenzie Gore","SP","SDP",101,4,"22.625",,"Rise","60 / 60","50 / 55","50 / 50","50 / 60","40 / 55",2150,2000,"91-95","97","50","sa3005068"
"Bryan Mata","MIRP","BOS",,5,"22.4333333",,"Sink","60 / 60","45 / 45","50 / 50","55 / 60","40 / 50",2500,2600,"93-96","99","45+","sa917784"
"Jackson Jobe","SP","DET",,4,"18.9472222",,"Tail","50 / 55","55 / 60","","45 / 55","20 / 50",,,"93-95","96","45+",
"Cole Winn","SP","TEX",,5,"21.8722222",,,"50 / 55","45 / 50","50 / 55","50 / 55","35 / 50",2350,2500,"92-94","96","45+","sa3008662"
"Brailyn Marquez","SIRP","CHC",,6,"22.6916666",,"Sink/Tail","70 / 80","45 / 45","","50 / 55","30 / 35",2250,2250,"93-97","100","45+","21896"
"Alec Marsh","SP","KCR",,3,"23.4027777",,,"60 / 60","50 / 55","50 / 50","45 / 50","35 / 50",2400,2350,"94-97","100","45+","sa1159950"
"Jackson Rutledge","SP","WSN",,5,"22.5222222",,,"70 / 70","60 / 70","45 / 50","45 / 50","30 / 40",2450,2350,"95-98","101","45+","sa3011338"
"Kyle Harrison","SP","SFG",,8,"20.1583333",,"Tail","50 / 55","45 / 50","","45 / 60","25 / 55",,,"90-92","94","45+","sa3014513"
"Clarke Schmidt","SP","NYY",,7,"25.6361111","5/3/17","Sink","60 / 60","","70 / 70","40 / 45","45 / 45",2350,3000,"91-95","96","45+","19899"
"Yoendrys Gomez","SP","NYY",,8,"21.9833333",,"Rise/Tail","55 / 60","","50 / 55","40 / 50","40 / 55",2500,2550,"93-96","98","45+","sa3004650"
"Blake Walston","SP","ARI",,7,"20.2805555",,"Rise","40 / 45","40 / 45","55 / 70","45 / 55","25 / 55",2150,,"88-92","93","45+","sa3011814"
"Lyon Richardson","SP","CIN",,5,"21.725",,"Rise","45 / 50","45 / 50","50 / 50","45 / 55","45 / 55",2250,2500,"89-93","95","45+","sa3007727"
"Ryan Pepiot","MIRP","LAD",,5,"24.1333333",,"Rise","55 / 60","","50 / 55","60 / 70","35 / 45",2450,2800,"90-93","94","45+","sa3011244"
"Clayton Beeter","SIRP","LAD",,6,"23","10/1/17","Rise","70 / 70","70 / 70","60 / 60","30 / 40","30 / 40",2550,2800,"94-97","98","45+","sa3014536"
"Bobby Miller","SP","LAD",,7,"22.5111111",,"Sink","60 / 65","55 / 60","","45 / 55","30 / 45",2200,2350,"92-96","98","45+","sa3014422"
"JJ Goss","SP","TBR",,10,"20.7888888",,"Tail","50 / 55","50 / 55","","","35 / 55",2600,2400,"91-94","96","45+","sa3011420"
"Bubba Chandler","SS/SP","PIT",,10,"18.825",,"Rise","35 / 55","","45 / 55","35 / 50","25 / 55",,,"88-91","92","45","sa3017428"
"Brennan Malone","SP","PIT",,12,"21.0861111",,"Sink","55 / 60","50 / 55","50 / 55","40 / 50","35 / 50",2300,2300,"92-96","99","45","sa3011741"
"Noah Song","SP","BOS",,7,"24.3638888",,"Rise/Tail","55 / 60","50 / 55","50 / 55","40 / 45","40 / 50",2350,2500,"93-95","99","45","sa3011695"
"Cody Bolton","SP","PIT",,14,"23.3055555",,"Sink","50 / 50","55 / 55","","50 / 50","50 / 50",2450,2600,"92-95","97","45","sa3004975"
"Connor Seabold","SP","BOS",,8,"25.7083333",,"Rise","45 / 50","50 / 50","45 / 45","55 / 60","55 / 60",,,"90-93","94","45","19695"
"Wilkelman Gonzalez","SP","BOS",,9,"19.2944444",,"Rise/Tail","55 / 60","50 / 55","","55 / 60","25 / 50",,2900,"94-96","98","45","sa3008687"
"Reese Olson","SP","DET",,7,"22.1916666",,"Rise","55 / 60","60 / 60","50 / 55","60 / 60","30 / 40",,,"93-96","97","45","sa3008513"
"Ty Madden","SP","DET",,8,"21.3888888",,"Rise","50 / 55","55 / 60","45 / 45","40 / 50","35 / 55",,,"91-95","98","45",
"Yerry Rodriguez","SP","TEX",,9,"23.9833333",,"Tail","50 / 55","50 / 55","","50 / 55","45 / 50",2500,2700,"92-96","98","45","sa918130"
"Joey Wentz","SP","DET",,9,"24.0083333","3/17/20","Cut/Rise","45 / 45","","45 / 50","55 / 60","45 / 55",2350,2350,"88-92","94","45","sa917946"
"Ethan Small","SP","MIL",,5,"24.6527777","1/1/16","RIse","50 / 55","","40 / 45","55 / 60","45 / 55",2200,2400,"91-94","96","45","sa3011621"
"Abner Uribe","SIRP","MIL",,9,"21.3027777",,"Rise/Tail","80 / 80","55 / 60","","","30 / 40",,,"98-101","103","45","sa3008177"
"Jairo Solis","SP","HOU",,4,"21.7972222","6/28/21*","Cut/Rise","60 / 60","50 / 50","60 / 60","45 / 55","30 / 45",2300,2500,"92-95","97","45","sa3003037"
"Ethan Elliott","SP","SDP",,5,"24.4472222",,,"45 / 45","45 / 50","","55 / 60","45 / 60",,,"88-92","93","45","sa3010380"
"Jordan Wicks","SP","CHC",,9,"21.8611111",,"Rise","40 / 45","45 / 50","40 / 45","60 / 70","35 / 60",2300,2350,"88-92","93","45","sa3017894"
"Alexander Vizcaino","SIRP","CHC",,12,"24.3805555",,"Tail","60 / 60","45 / 50","","60 / 70","30 / 35",2150,2500,"93-97","98","45","sa920272"
"Drew Strotman","SP","MIN",,7,"25.1","6/1/18",,"50 / 55","","50 / 55","30 / 40","45 / 50",2200,2550,"92-95","97","45","sa3004584"
"Josh Winder","SP","MIN",,9,"24.9944444",,"Rise","50 / 55","50 / 50","45 / 50","45 / 50","40 / 45",2150,2400,"91-93","96","45","sa3007993"
"Joe Ryan","MIRP","MIN",,10,"25.3444444",,"Rise","60 / 60","","50 / 50","45 / 50","50 / 60",2200,2550,"90-94","96","45","21390"
"Gunnar Hoglund","SP","TOR",,4,"21.5666666",,"Tail","50 / 50","60 / 60","","40 / 50","35 / 70",,,"90-94","96","45",
"Jackson Kowar","SIRP","KCR",,7,"25.0138888",,"Tail","55 / 60","","45 / 45","70 / 70","40 / 45",2300,2400,"93-96","98","45","21549"
"Angel Zerpa","SP","KCR",,10,"22.0333333",,"Tail","40 / 40","","50 / 55","55 / 60","35 / 60",,,"91-93","94","45","22717"
"Adam Macko","SP","SEA",,6,"20.775",,"Rise","55 / 60","55 / 55","55 / 60","","30 / 45",2400,2800,"94-96","98","45","sa3011555"
"Matt Brash","MIRP","SEA",,7,"23.4083333",,"Rise/Tail","55 / 60","55 / 60","50 / 55","40 / 45","30 / 45",,,"94-98","100","45","sa3010616"
"Juan Then","SP","SEA",,8,"21.6722222",,"Tail","55 / 60","55 / 60","","40 / 50","40 / 50",2400,2450,"93-96","98","45","sa3002793"
"J.T. Ginn","SP","NYM",,6,"22.3861111",,,"50 / 55","55 / 60","","45 / 50","35 / 50",2150,2400,"91-94","96","45","sa3014428"
"Jared Kelley","SP","CHW",,1,"20.0166666",,"Sink","55 / 60","","40 / 45","60 / 70","25 / 50",2300,2100,"92-96","99","45","sa3014471"
"Sam Bachman","SIRP","LAA",,4,"21.7805555",,"Tail","65 / 65","55 / 60","","35 / 40","30 / 40",2200,2350,"95-99","101","45","sa3017261"
"Seth Corry","MIRP","SFG",,10,"22.9333333",,"Sink","50 / 55","","55 / 60","50 / 50","35 / 40",2200,2600,"90-94","95","45","sa3004648"
"Ken Waldichuk","MIRP","NYY",,10,"23.7527777",,"Rise/Tail","45 / 55","45 / 50","","45 / 50","45 / 50",2400,2200,"90-94","95","45","sa1115814"
"Tristan Beck","SP","SFG",,12,"25.2916666",,"Rise","50 / 50","45 / 45","55 / 55","55 / 55","40 / 45",2250,2400,"89-94","95","45","sa3008526"
"Luis Gil","SIRP","NYY",,12,"23.35",,"Rise","70 / 70","50 / 50","","40 / 45","40 / 45",2550,2750,"93-97","99","45","21052"
"Corbin Martin","SP","ARI",,8,"25.7805555","7/4/19","Rise","45 / 50","55 / 55","55 / 55","50 / 55","50 / 55",2400,2650,"93-95","98","45","19884"
"Drey Jameson","SP","ARI",,9,"24.1444444",,"Tail","55 / 60","50 / 50","55 / 60","45 / 50","30 / 45",2300,2550,"93-96","98","45","sa3011652"
"Bryce Jarvis","SP","ARI",,10,"23.7861111",,"Rise","50 / 55","50 / 55","45 / 50","50 / 55","35 / 60",2200,2200,"92-94","97","45","sa3014437"
"Ryne Nelson","MIRP","ARI",,11,"23.6888888",,"Cut/Rise","60 / 60","55 / 60","50 / 55","40 / 50","30 / 40",2150,2500,"93-96","97","45","sa3011524"
"Luis Frias","SIRP","ARI",,12,"23.3777777",,"Sink","55 / 55","45 / 50","45 / 50","","30 / 40",2350,2350,"93-97","99","45","21997"
"Tommy Henry","SP","ARI",,13,"24.1944444",,"Rise","45 / 50","50 / 55","","50 / 55","35 / 50",2300,2150,"88-92","93","45","sa3011673"
"Matt Tabor","SP","ARI",,14,"23.2361111",,"Rise/Tail","45 / 45","","50 / 55","55 / 60","35 / 50",2450,2450,"90-93","94","45","sa3005334"
"Daulton Jefferies","SP","OAK",,3,"26.1861111","4/26/17",,"45 / 45","50 / 50","","60 / 60","60 / 60",2300,2450,"91-94","95","45","19345"
"A.J. Puk","SP","OAK",,4,"26.4555555","4/10/18","Rise","50 / 55","60 / 60","50 / 55","55 / 60","40 / 45",2250,2250,"94-97","99","45","19343"
"Zack Thompson","SP","STL",,5,"23.9472222",,"Sink","40 / 45","45 / 50","60 / 60","","45 / 50",2050,2900,"91-94","97","45","sa3011128"
"Masyn Winn","SIRP/SS","STL",,6,"19.55",,,"60 / 70","","60 / 70","30 / 50","20 / 40",,,"93-96","98","45","sa3014506"
"Andre Jackson","SP","LAD",,10,"25.4388888","11/1/16","Rise","50 / 50","","45 / 45","55 / 60","50 / 55",2400,2400,"90-93","95","45","21298"
"Kyle Muller","MIRP","ATL",,5,"24.0055555",,"Rise","70 / 70","55 / 60","55 / 55","45 / 45","30 / 35",2600,2200,"95-96","98","45","20167"
"Gavin Williams","SP","CLE",,8,"21.9583333",,"Sink","60 / 60","45 / 50","50 / 55","","30 / 50",,,"95-98","101","45",
"Jared Shuster","SP","ATL",,6,"23.1833333",,"Rise","55 / 60","45 / 50","","55 / 60","30 / 45",2300,2100,"93-95","97","45","sa3014483"
"Lenny Torres","SP","CLE",,9,"20.9833333","5/15/19","Tail","60 / 60","50 / 60","","40 / 50","40 / 50",2250,2400,"92-95","97","45","sa3008329"
"Ryan Cusick","SIRP","ATL",,7,"21.6638888",,"Rise/Tail","70 / 70","","60 / 60","","30 / 35",2400,2200,"94-97","100","45","sa3017385"
"Ethan Hankins","SP","CLE",,12,"21.3777777",,"Tail","55 / 60","50 / 55","50 / 50","45 / 50","30 / 50",2350,2500,"92-95","97","45","sa3008589"
"Joey Cantillo","SP","CLE",,14,"21.8083333",,"Rise","45 / 50","","40 / 45","55 / 60","40 / 55",2000,2400,"87-90","92","45","sa3005246"
"Francisco Morales","SIRP","PHI",,3,"21.95",,"Tail","55 / 60","60 / 70","","35 / 45","30 / 45",2500,2400,"93-96","98","45","sa3004581"
"Andrew Painter","SP","PHI",,5,"18.2527777",,"Sink","50 / 60","50 / 55","45 / 50","30 / 45","25 / 50",,,"93-96","98","45","sa3017880"
"Hans Crouse","SIRP","PHI",,6,"23.0666666",,,"60 / 60","","60 / 60","45 / 50","40 / 40",2500,2700,"94-97","98","45","22192"
"Erik Miller","MIRP","PHI",,7,"23.6555555",,"Sink","45 / 50","50 / 55","50 / 55","55 / 60","30 / 50",2350,2750,"90-95","96","45","sa3011336"
"Cole Wilcox","SP","TBR",,13,"22.2361111",,"Sink/Tail","55 / 60","55 / 60","","45 / 55","35 / 45",2100,2100,"93-97","100","45","sa3014443"
"Kyle Bradish","SIRP","BAL",,9,"25.075",,"Rise","50 / 50","50 / 50","55 / 55","45 / 50","30 / 40",2250,2550,"92-94","97","45","sa3008605"
"Nick Bitsko","SP","TBR",,14,"19.3138888",,"Rise","50 / 60","","50 / 60","35 / 50","25 / 50",,,"92-95","97","45","sa3014476"
"Mike Baumann","SP","BAL",,10,"26.0805555",,"Rise","60 / 60","50 / 50","50 / 50","40 / 45","40 / 45",2350,2400,"92-95","97","45","20206"
"Chris McMahon","SP","COL",,6,"22.6805555",,"Tail","50 / 55","50 / 55","","45 / 55","35 / 50",,,"92-95","97","45","sa3014429"
"Eury Perez","SP","MIA",,8,"18.4833333",,"Tail","45 / 60","","45 / 50","45 / 60","25 / 55",,,"91-94","95","45","sa3014807"
"Dax Fulton","SP","MIA",,9,"19.9805555",,,"50 / 60","","55 / 60","40 / 50","20 / 50",,,"91-95","96","45","sa3014535"
"Anthony Solometo","SP","PIT",,16,"18.6083333",,"Tail","40 / 50","55 / 60","","","25 / 60",,,"87-90","94","40+",
"Jared Jones","SIRP","PIT",,17,"20.175",,"Rise","60 / 60","50 / 60","55 / 55","40 / 50","20 / 35",2550,2600,"93-97","99","40+","sa3014459"
"Eduard Bazardo","SIRP","BOS",,11,"26.1055555",,"Rise","55 / 60","","70 / 70","","30 / 35",2250,2900,"94-96","98","40+","20997"
"Carmen Mlodzinski","SP","PIT",,18,"22.6388888",,"Sink","55 / 60","50 / 50","","40 / 45","35 / 50",2000,2400,"93-97","98","40+","sa3014505"
"Brayan Bello","SIRP","BOS",,12,"22.3944444",,"Tail","55 / 60","40 / 45","","55 / 60","30 / 40",2250,2400,"92-95","98","40+","sa3005436"
"Jay Groome","SP","BOS",,13,"23.1277777","5/15/18","Rise","50 / 50","40 / 45","55 / 55","45 / 50","40 / 50",2250,2500,"92-94","95","40+","sa917925"
"Thaddeus Ward","MIRP","BOS",,15,"24.7305555",,"Tail","45 / 50","50 / 55","45 / 45","40 / 45","40 / 45",2250,2700,"90-94","96","40+","sa3008098"
"Brandon Walter","MIRP","BOS",,16,"25.0861111",,"Tail","55 / 55","45 / 50","","50 / 55","40 / 50",2300,2800,"92-95","96","40+","sa3010826"
"Owen White","SP","TEX",,14,"22.1666666",,,"45 / 50","","55 / 60","45 / 55","30 / 50",2300,2500,"92-95","96","40+","sa3014481"
"Jose Soriano","SIRP","PIT",,27,"22.9694444","2/6/20","Rise","55 / 60","","50 / 55","30 / 40","30 / 40",2250,2300,"93-97","99","40+","sa916702"
"Justin Slaten","MIRP","TEX",,15,"24.0666666",,,"55 / 55","60 / 70","","45 / 50","35 / 45",2300,2400,"92-96","97","40+","sa3010309"
"Ronny Henriquez","SP","TEX",,16,"21.3027777",,,"55 / 55","40 / 45","","50 / 60","35 / 55",2400,2350,"93-96","97","40+","sa3005835"
"Eddy Yean","SP","PIT",,29,"20.2888888",,"Tail","50 / 60","50 / 55","","45 / 55","25 / 50",2300,2350,"91-94","96","40+","sa3006543"
"A.J. Alexy","SIRP","TEX",,19,"23.4666666",,"Rise","60 / 60","","55 / 60","40 / 45","30 / 35",2250,2400,"93-97","99","40+","22343"
"Ricky Vanasco","MIRP","TEX",,22,"22.9888888","44095","Rise","55 / 60","","60 / 70","","35 / 40",2250,,"92-96","98","40+","sa3004863"
"Dane Acker","SP","TEX",,23,"22.5222222",,,"55 / 60","45 / 50","45 / 50","40 / 45","30 / 45",,,"92-97","99","40+","sa3014924"
"Avery Weems","MIRP","TEX",,24,"24.3416666",,"Tail","50 / 50","","55 / 60","45 / 50","30 / 40",,,"92-94","96","40+","sa3010256"
"Emiliano Teodo","SIRP","TEX",,25,"20.6527777",,,"70 / 70","","55 / 60","","30 / 40",,,"97-101","102","40+","sa3015158"
"Antoine Kelly","SIRP","MIL",,17,"21.8444444",,"Tail","60 / 65","40 / 50","","30 / 45","30 / 50",2250,2250,"93-96","98","40+","sa3011135"
"Max Lazar","SP","MIL",,20,"22.35","1/1/21","Rise","40 / 50","","40 / 45","55 / 60","45 / 55",2100,,"86-89","91","40+","sa3005163"
"Peter Solomon","SP","HOU",,7,"25.1472222","6/1/19",,"50 / 50","50 / 50","50 / 50","55 / 60","40 / 45",2350,2550,"90-94","95","40+","20476"
"Tyler Ivey","MIRP","HOU",,8,"25.4083333",,"Rise","55 / 55","45 / 50","60 / 60","45 / 50","40 / 40",2350,2700,"90-92","95","40+","20237"
"Forrest Whitley","MIRP","HOU",,9,"24.0666666","3/17/21","Rise","60 / 60","55 / 55","60 / 60","60 / 60","30 / 40",2500,2900,"93-97","99","40+","sa917930"
"Shawn Dubin","SIRP","HOU",,12,"26.0916666",,"Rise","55 / 55","60 / 60","50 / 50","","40 / 40",2300,2750,"92-95","97","40+","sa3007248"
"Justin Lange","SP","SDP",,6,"20.0777777",,,"55 / 60","40 / 50","","40 / 50","20 / 45",,,"92-97","100","40+","sa3014517"
"Reiss Knehr","MIRP","SDP",,7,"24.9333333",,"Tail","45 / 50","45 / 50","","50 / 55","40 / 45",,,"91-94","95","40+","21541"
"Ryan Jensen","MIRP","CHC",,16,"23.8777777",,"Sink/Tail","70 / 70","45 / 50","","45 / 50","40 / 50",2550,2450,"93-96","99","40+","sa3011496"
"Chase Petty","SIRP","MIN",,13,"18.2694444",,"Tail","60 / 60","60 / 70","","","20 / 45",,,"93-96","100","40+",
"Burl Carraway","SIRP","CHC",,22,"22.3666666",,"Rise","65 / 70","","70 / 70","","30 / 35",2450,2850,"94-97","98","40+","sa3014495"
"Kohl Franklin","SP","CHC",,23,"22.0833333",,,"45 / 50","","50 / 55","55 / 60","35 / 50",2200,2700,"90-93","95","40+","sa3008335"
"Cole Sands","SP","MIN",,17,"24.2277777",,"Tail","50 / 55","","55 / 55","45 / 50","40 / 45",2450,3000,"91-94","96","40+","sa3008611"
"CJ Van Eyk","SP","TOR",,6,"23.0666666",,"Rise","50 / 50","50 / 55","45 / 50","50 / 55","30 / 45",2250,,"91-94","96","40+","sa3014713"
"Caleb Kilian","SP","CHC",,25,"24.3527777",,"Tail","45 / 45","45 / 50","45 / 50","45 / 50","60 / 70",,,"91-93",,"40+","sa3011773"
"Julian Merryweather","SIRP","TOR",,8,"29.9861111","3/10/18","Rise","70 / 70","50 / 50","45 / 45","60 / 60","45 / 45",2200,2550,"96-98","99","40+","16703"
"Riley Thompson","MIRP","CHC",,26,"25.25","6/1/15",,"50 / 55","","55 / 60","45 / 45","40 / 45",2350,3000,"92-94","96","40+","sa876287"
"Sem Robberse","SP","TOR",,9,"19.9916666",,"Rise","45 / 50","20 / 50","50 / 55","20 / 50","30 / 50",2400,2500,"88-81","93","40+","sa3011735"
"Ben Leeper","SIRP","CHC",,27,"24.3166666",,"Rise","65 / 70","55 / 60","","","30 / 35",2350,2650,"95-98","99","40+","sa3014907"
"Anderson Espinoza","MIRP","CHC",,29,"23.5833333","4/22/19*",,"55 / 55","","55 / 55","50 / 55","30 / 40",2200,2750,"93-96","97","40+","sa872856"
"Daniel Palencia","SP","CHC",,30,"21.6777777",,,"60 / 60","","50 / 55","","30 / 45",,,"96-98","99","40+","sa3015122"
"Frank Mozzicato","SP","KCR",,11,"18.0611111",,"Rise","45 / 50","","55 / 65","40 / 50","40 / 55",,,"88-92","94","40+",
"Jonathan Bowlan","SP","KCR",,13,"24.8555555",,"Sink","50 / 55","50 / 55","","40 / 45","50 / 60",2250,2300,"91-95","97","40+","sa3006973"
"John McMillon","SIRP","KCR",,14,"23.7",,"Rise","60 / 70","50 / 55","","","30 / 35",2300,2100,"94-96","97","40+","sa3015344"
"Austin Cox","MIRP","KCR",,15,"24.5305555",,"Rise","45 / 50","50 / 50","50 / 50","50 / 55","30 / 40",2200,2450,"89-93","95","40+","sa3007777"
"Ben Kudrna","SP","KCR",,16,"18.4472222",,"Sink/Tail","40 / 50","","45 / 55","45 / 50","20 / 45",,,"91-95","96","40+",
"Brandon Williamson","MIRP","SEA",,9,"23.5194444",,"Rise","55 / 55","50 / 55","55 / 60","45 / 50","35 / 40",2250,2650,"92-95","97","40+","sa3011494"
"Wyatt Mills","SIRP","SEA",,10,"26.7055555",,"Sink/Tail","50 / 50","55 / 55","","45 / 50","50 / 55",2050,2550,"92-94","95","40+","20010"
"Andry Lara","SP","WSN",,7,"18.7583333",,,"45 / 55","50 / 55","","40 / 50","25 / 55",,,"89-93","96","40+","sa3014716"
"Aldo Ramirez","SP","WSN",,8,"20.425",,"Rise","45 / 50","45 / 50","","45 / 55","35 / 60",2150,2200,"90-95","96","40+","sa3005371"
"Gerardo Carrillo","SIRP","WSN",,10,"23.0722222",,"Sink/Tail","60 / 65","50 / 55","50 / 50","45 / 55","30 / 40",2300,2650,"93-96","99","40+","sa3002790"
"Seth Romero","MIRP","WSN",,11,"25.4722222","8/30/18","Sink","45 / 50","55 / 60","","55 / 60","40 / 40",2300,2300,"91-93","96","40+","21333"
"Matt Cronin","SIRP","WSN",,12,"24.0527777",,"Rise","60 / 65","","55 / 60","40 / 45","40 / 45",2400,2550,"93-95","96","40+","sa3011463"
"Cole Henry","SIRP","WSN",,14,"22.2333333",,"Tail","55 / 60","","50 / 60","40 / 50","30 / 45",2450,2400,"91-96","96","40+","sa3014446"
"Will Bednar","SP","SFG",,13,"21.0777777",,"Tail","50 / 55","55 / 60","50 / 55","","30 / 40",2300,2700,"90-93","96","40+","sa3017844"
"Jack Kochanowicz","SP","LAA",,8,"20.7972222",,"Rise","45 / 50","","50 / 60","45 / 50","30 / 50",2250,2600,"88-92","94","40+","sa3014539"
"Manuel Mercedes","SP","SFG",,14,"19.05",,"Tail","50 / 60","40 / 50","","35 / 60","20 / 45",,,"94-97","98","40+","sa3015214"
"Ky Bush","SIRP","LAA",,9,"21.6638888",,"Rise","55 / 60","55 / 60","45 / 45","","30 / 40",,,"92-95","96","40+","sa3017386"
"T.J. Sikkema","SP","NYY",,13,"23.2055555",,"Tail","45 / 50","50 / 55","","40 / 50","45 / 60",2250,2300,"90-94","95","40+","sa3011191"
"Matt Mikulski","MIRP","SFG",,15,"22.175",,"Tail","55 / 60","45 / 50","45 / 45","60 / 70","30 / 45",,,"93-97","100","40+","sa3017874"
"Camilo Doval","SIRP","SFG",,16,"24.2638888",,"Cut","","55 / 55","","","20 / 30",2750,2700,"93-98","99","40+","21992"
"William Holmes","SP","LAA",,11,"20.8",,"Tail","45 / 50","45 / 55","","45 / 55","30 / 50",2450,,"88-94","95","40+","sa3007744"
"Stephen Ridings","SIRP","NYY",,17,"26.1527777",,"Sink","70 / 70","55 / 55","","","45 / 45",2300,2200,"96-98","100","40+","22358"
