year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Colomé, Alex,517008,R,FF,324,93.7,2101,17.8,0.8730967604291827,0.9714606867648413,169.2096086332099,172.2270072364064,4-Seam Fastball,97,735,735,-3.017398603196483,3.017398603196477,0,12,15,12,15,0,0,12:15,12:15, 0H 00M
,Cueto, Johnny,456501,R,FF,648,91.8,2234,19.1,0.8933050734321094,0.9349936240922881,135.82566887323972,140.5586035375631,4-Seam Fastball,93,90,75,-4.7329346643233805,4.73293466432338,15,1,30,1,15,0,15,1:30,1:15,+0H 15M
,Curtiss, John,595928,R,FF,350,94.9,2269,17.8,0.8459178248242093,0.9178708436641658,149.938515259632,159.47055455607705,4-Seam Fastball,92,60,765,-9.532039296445049,9.532039296445038,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Davis, Austin,656354,L,FF,245,93.6,2162,16.8,0.8183154584839982,0.9304799550967388,220.20280856409465,214.47760518212084,4-Seam Fastball,93,645,645,5.725203381973813,5.725203381973843,0,10,45,10,45,0,0,10:45,10:45, 0H 00M
,Dayton, Grant,594795,L,FF,161,91.5,2186,19.1,0.927758702228098,0.9583802703082009,212.59045547159334,204.8451692535599,4-Seam Fastball,96,660,675,7.745286218033442,7.745286218033448,-15,11,0,11,15,0,15,11:00,11:15,-0H 15M
,Detmers, Reid,672282,L,FF,148,92.8,2082,17.9,0.8836259603500376,0.9767442178470139,209.86091232215568,205.01750648475132,4-Seam Fastball,98,660,675,4.843405837404362,4.843405837404359,-15,11,0,11,15,0,15,11:00,11:15,-0H 15M
,Diekman, Jake,518617,L,FF,609,95.4,2223,19.6,0.9346201301410205,0.9843649880503049,234.28789503066855,228.89807524427465,4-Seam Fastball,98,615,615,5.3898197863939,5.389819786393916,0,10,15,10,15,0,0,10:15,10:15, 0H 00M
,Doval, Camilo,666808,R,FF,180,98.6,2569,13.2,0.6023532804414473,0.663176998842691,144.90327883996065,161.09433108966007,4-Seam Fastball,66,75,765,-16.191052249699425,16.191052249699414,30,1,15,12,45,0,30,1:15,12:45,+0H 30M
,Duffey, Tyler,608648,R,FF,468,92.5,2272,16.6,0.7817909656155644,0.8068039132515087,148.23233448592018,159.67389258647,4-Seam Fastball,81,60,765,-11.441558100549827,11.441558100549832,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Díaz, Yennsy,660546,R,FF,287,95.4,1996,16.3,0.8208644837056904,0.9085839810055788,138.76899236898115,148.69330126033447,4-Seam Fastball,91,75,60,-9.92430889135332,9.924308891353283,15,1,15,1,0,0,15,1:15,1:00,+0H 15M
,Espino, Paolo,502179,R,FF,955,89,2216,18.9,0.8860281092426723,0.9355494848234605,163.7374584467048,169.00538385945782,4-Seam Fastball,94,750,735,-5.267925412753016,5.267925412753041,15,12,30,12,15,0,15,12:30,12:15,+0H 15M
,Farrell, Luke,608652,R,FF,190,91.3,2379,18.3,0.8454621376903485,0.8814538362524866,160.39104413536046,168.3722039246377,4-Seam Fastball,88,765,750,-7.981159789277228,7.981159789277228,15,12,45,12,30,0,15,12:45,12:30,+0H 15M
,Feltner, Ryan,663372,R,FF,76,92.4,2246,13.3,0.6611375328236091,0.7606640599229056,145.92609755787123,157.65569165019613,4-Seam Fastball,76,75,765,-11.729594092324902,11.729594092324893,30,1,15,12,45,0,30,1:15,12:45,+0H 30M
,Flexen, Chris,623167,R,FF,1118,92.8,2107,17.9,0.8577247805518396,0.9200306698342978,164.76407878235852,173.1914875043841,4-Seam Fastball,92,750,735,-8.427408722025575,8.427408722025595,15,12,30,12,15,0,15,12:30,12:15,+0H 15M
,García, Rony,665621,R,FF,34,92,2262,13.3,0.6339215673842638,0.7382879502405085,131.8758788288689,146.0663276946767,4-Seam Fastball,74,90,75,-14.190448865807781,14.190448865807767,15,1,30,1,15,0,15,1:30,1:15,+0H 15M
,García, Yimi,554340,R,FF,369,96,2531,13.9,0.6288753631286914,0.6966417417320641,136.7664434861968,149.7977564677407,4-Seam Fastball,70,90,60,-13.031312981543891,13.03131298154388,30,1,30,1,0,0,30,1:30,1:00,+0H 30M
,Garrett, Amir,607237,L,FF,402,94.8,2246,17.5,0.8415193423702917,0.9135778577161325,213.38119029393704,214.1549893324527,4-Seam Fastball,91,660,645,-0.7737990385156479,0.7737990385156657,15,11,0,10,45,0,15,11:00,10:45,+0H 15M
,Ginkel, Kevin,656464,R,FF,311,94.7,2387,18.8,0.8928151561737269,0.9218453352885168,137.97975115377673,144.22192739836208,4-Seam Fastball,92,90,75,-6.242176244585352,6.242176244585337,15,1,30,1,15,0,15,1:30,1:15,+0H 15M
,Gose, Anthony,543238,L,FF,84,99.3,2439,20,0.9588703487021693,0.9875305077488951,203.4154718947364,204.46797748964437,4-Seam Fastball,99,675,675,-1.0525055949079558,1.0525055949079385,0,11,15,11,15,0,0,11:15,11:15, 0H 00M
,Greinke, Zack,425844,R,FF,1019,88.9,2234,15.9,0.7302703546089979,0.7865834942488343,167.282123948265,175.4752684459142,4-Seam Fastball,79,750,735,-8.1931444976492,8.193144497649216,15,12,30,12,15,0,15,12:30,12:15,+0H 15M
,Guzman, Jorge,660422,R,FF,34,95.9,2085,18.1,0.8826518207227182,0.9682927090346408,141.43881832346625,148.53921682611545,4-Seam Fastball,97,75,60,-7.100398502649199,7.100398502649182,15,1,15,1,0,0,15,1:15,1:00,+0H 15M
,Hanhold, Eric,621098,R,FF,93,94.9,2287,17.4,0.8164482388300756,0.8789472905863971,152.952327203864,156.4690653502778,4-Seam Fastball,88,60,765,-3.516738146413786,3.5167381464137946,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Hartman, Ryan,670057,L,FF,38,88,1866,17.6,0.8738758170128724,0.9754891748959498,218.73892049688152,213.46247997170596,4-Seam Fastball,98,645,660,5.276440525175559,5.276440525175527,-15,10,45,11,0,0,15,10:45,11:00,-0H 15M
,Hatch, Thomas,641672,R,FF,65,93.9,2496,18.9,0.860206500610802,0.8885525294190593,144.9618443581781,151.97151476203237,4-Seam Fastball,89,75,60,-7.0096704038542725,7.009670403854278,15,1,15,1,0,0,15,1:15,1:00,+0H 15M
,Hearn, Taylor,621368,L,FF,775,95.1,2273,17.5,0.8332576680927186,0.9003420189033943,212.99406281139073,202.10031205954613,4-Seam Fastball,90,660,675,10.893750751844607,10.893750751844578,-15,11,0,11,15,0,15,11:00,11:15,-0H 15M
,Helsley, Ryan,664854,R,FF,445,97.4,2525,17,0.7873705569652947,0.8097245846623017,164.35438123414545,167.46093447792256,4-Seam Fastball,81,750,750,-3.106553243777114,3.1065532437771193,0,12,30,12,30,0,0,12:30,12:30, 0H 00M
,Hendrix, Ryan,641682,R,FF,236,96.4,2225,16.1,0.7989700670573239,0.863008810932986,141.39630207622878,151.5773144044112,4-Seam Fastball,86,75,60,-10.181012328182419,10.181012328182412,15,1,15,1,0,0,15,1:15,1:00,+0H 15M
,Herget, Jimmy,623474,R,FF,74,91.5,2248,19.1,0.8938330742372185,0.9177997983056018,115.29435089957664,113.33766676294293,4-Seam Fastball,92,135,135,1.9566841366337115,1.9566841366337138,0,2,15,2,15,0,0,2:15,2:15, 0H 00M
,Hoffman, Jeff,656546,R,FF,754,94.3,2470,20.8,0.9640835555369373,0.9872563188577737,147.84833568277708,148.57337778013095,4-Seam Fastball,99,60,60,-0.725042097353878,0.7250420973538731,0,1,0,1,0,0,0,1:00,1:00, 0H 00M
,Holland, Greg,518813,R,FF,400,92.8,2237,17,0.8126978133176144,0.8772174667454052,172.19768727131017,179.39160455359826,4-Seam Fastball,88,735,720,-7.1939172822880835,7.193917282288074,15,12,15,12,0,0,15,12:15,12:00,+0H 15M
,Houck, Tanner,656557,R,FF,428,94.5,2102,9.6,0.4703978097762762,0.6243370126732006,119.41629115504679,136.77494538828765,4-Seam Fastball,62,120,90,-17.358654233240856,17.35865423324084,30,2,0,1,30,0,30,2:00,1:30,+0H 30M
,Jackson, Luke,592426,R,FF,374,95.8,2208,18.6,0.9155058883174299,0.9574024134480777,151.04710716255374,156.56617987626748,4-Seam Fastball,96,60,765,-5.51907271371374,5.519072713713731,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Jiménez, Joe,641729,R,FF,468,94.7,2494,19.5,0.8952382998772331,0.9010621828549583,149.1246859635557,153.18875310607257,4-Seam Fastball,90,60,60,-4.064067142516876,4.064067142516865,0,1,0,1,0,0,0,1:00,1:00, 0H 00M
,Kazmir, Scott,431148,L,FF,109,92.4,2166,19.6,0.9164821425885284,0.9844022819786235,216.16118316593946,216.79595934992238,4-Seam Fastball,98,645,645,-0.6347761839829218,0.6347761839829177,0,10,45,10,45,0,0,10:45,10:45, 0H 00M
,Keller, Mitch,656605,R,FF,1051,93.8,2354,16.6,0.7783840276845498,0.8546964044018613,153.08976937721715,155.45023611661088,4-Seam Fastball,85,60,765,-2.360466739393729,2.360466739393718,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,King, Michael,650633,R,FF,89,95.2,2383,18.7,0.8559908089314365,0.8820881072211765,141.25104056263595,147.167741695644,4-Seam Fastball,88,75,60,-5.916701133008047,5.916701133008041,15,1,15,1,0,0,15,1:15,1:00,+0H 15M
,Kinley, Tyler,641755,R,FF,484,95.9,2377,16.5,0.8260937687474226,0.8906160358274878,158.92409276593978,165.85999673872652,4-Seam Fastball,89,765,750,-6.935903972786747,6.935903972786755,15,12,45,12,30,0,15,12:45,12:30,+0H 15M
,Kluber, Corey,446372,R,FF,60,89.9,2260,15.6,0.7040027768895195,0.747862595728394,147.62074659819834,159.15155392913275,4-Seam Fastball,75,60,765,-11.530807330934408,11.530807330934401,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Knebel, Corey,608349,R,FF,232,96.3,2403,17.3,0.8121953391486029,0.9012281830322211,156.2310492833102,160.50723689803561,4-Seam Fastball,90,765,765,-4.276187614725416,4.276187614725421,0,12,45,12,45,0,0,12:45,12:45, 0H 00M
,LeBlanc, Wade,453281,L,FF,119,87.5,1994,17.1,0.8500474573790006,0.9478230447461401,217.61001276881666,208.30099904195848,4-Seam Fastball,95,645,660,9.309013726858183,9.309013726858215,-15,10,45,11,0,0,15,10:45,11:00,-0H 15M
,Littell, Zack,641793,R,FF,570,94.9,2059,18.1,0.895765914949536,0.9735994959774418,155.85163199846613,158.01353059703075,4-Seam Fastball,97,765,765,-2.161898598564619,2.1618985985646324,0,12,45,12,45,0,0,12:45,12:45, 0H 00M
,Lyles, Jordan,543475,R,FF,1168,93,2278,19,0.8967472899018587,0.9209858789854873,151.98781498687438,157.32858818254033,4-Seam Fastball,92,60,765,-5.340773195665946,5.340773195665943,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Lynch, Daniel,663738,L,FF,508,93.8,2114,16.5,0.8182046633862975,0.9119352696370898,209.45956721799936,207.8016821949955,4-Seam Fastball,91,660,660,1.657885023003871,1.657885023003866,0,11,0,11,0,0,0,11:00,11:00, 0H 00M
,López, Jorge,605347,R,FF,456,95.3,1977,17.6,0.8864243474261959,0.9662081431469597,141.48509736929725,145.59361155544948,4-Seam Fastball,97,75,75,-4.1085141861522345,4.108514186152268,0,1,15,1,15,0,0,1:15,1:15, 0H 00M
,López, Pablo,641154,R,FF,530,94.1,2121,14.9,0.7208936964084891,0.8017312253643432,136.12094070289214,150.86203039255207,4-Seam Fastball,80,90,60,-14.74108968965993,14.741089689659926,30,1,30,1,0,0,30,1:30,1:00,+0H 30M
,Madero, Luís,650347,R,FF,79,89.6,2274,13.7,0.6366131609975639,0.7247137905155993,143.05721515091702,135.86517138167898,4-Seam Fastball,72,75,90,7.19204376923804,7.192043769238015,-15,1,15,1,30,0,15,1:15,1:30,-0H 15M
,Manning, Matt,666159,R,FF,588,93.5,2054,16.5,0.8264339439455964,0.911574573925358,160.99985776176896,169.87830189722993,4-Seam Fastball,91,765,735,-8.878444135460967,8.878444135460956,30,12,45,12,15,0,30,12:45,12:15,+0H 30M
,Mantiply, Joe,573009,L,FF,44,91.4,2253,17.3,0.8318594188061936,0.8708322463707908,238.44097541297583,229.62610901419797,4-Seam Fastball,87,600,615,8.814866398777866,8.81486639877786,-15,10,0,10,15,0,15,10:00,10:15,-0H 15M
,Martin, Brett,656685,L,FF,221,93.6,2195,15.7,0.7546621188291365,0.8891919555879364,209.4371194078157,202.56545795399458,4-Seam Fastball,89,660,675,6.871661453821105,6.871661453821066,-15,11,0,11,15,0,15,11:00,11:15,-0H 15M
