year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Wittgren, Nick,621295,R,FC,101,88.2,2322,7.2,0.3336878241734528,0.3660667767679611,177.084095301165,216.0350573441792,Cutter,37,720,645,-38.95096204301419,38.95096204301419,75,12,0,10,45,1,15,12:00,10:45,+1H 15M
,Yajure, Miguel,664337,R,FC,41,87.1,2543,9.1,0.3881828708267194,0.4506295597271296,167.0253089856413,196.98761705428024,Cutter,45,750,690,-29.962308068638947,29.962308068638947,60,12,30,11,30,1,0,12:30,11:30,+1H 00M
,de Geus, Brett,676969,R,FC,224,88.4,2101,5.7,0.2797769564527278,0.2821641686621297,171.54499112385983,167.59707632837262,Cutter,28,735,750,3.9479147954872076,3.9479147954871876,-15,12,15,12,30,0,15,12:15,12:30,-0H 15M
,Alvarado, José,621237,L,FC,169,94.1,2255,4.8,0.22905142236521708,0.32542313258379973,194.48097946314542,161.5575826111084,Cutter,33,690,750,32.92339685203703,32.923396852036994,-60,11,30,12,30,1,0,11:30,12:30,-1H 00M
,Alzolay, Adbert,640470,R,FC,129,90.2,2367,7.1,0.3263898217779127,0.49986384281842255,183.40388280269434,213.08514148106136,Cutter,50,720,660,-29.681258678367016,29.681258678366987,60,12,0,11,0,1,0,12:00,11:00,+1H 00M
,Anderson, Brett,474463,L,FC,112,85.7,2040,8.7,0.4172022591318567,0.563571963786022,198.10974053160223,171.77190272993292,Cutter,56,690,735,26.33783780166931,26.337837801669302,-45,11,30,12,15,0,45,11:30,12:15,-0H 45M
,Anderson, Chase,502624,R,FC,186,86.6,2294,8.8,0.3993190201838056,0.4752860928553479,189.26206334477234,216.295202211986,Cutter,48,705,645,-27.033138867213665,27.033138867213637,60,11,45,10,45,1,0,11:45,10:45,+1H 00M
,Anderson, Tyler,542881,L,FC,701,85,2487,9.2,0.40585998472323415,0.46666848215919016,194.53841493443787,163.11434311335964,Cutter,47,690,750,31.42407182107823,31.424071821078254,-60,11,30,12,30,1,0,11:30,12:30,-1H 00M
,Bielak, Brandon,656232,R,FC,44,90,2437,7.9,0.36003597112394065,0.45908295771785157,171.98546918064125,202.10015049651824,Cutter,46,735,675,-30.114681315876993,30.11468131587699,60,12,15,11,15,1,0,12:15,11:15,+1H 00M
,Blackburn, Paul,621112,R,FC,174,87,2427,7.2,0.3211536540022814,0.439510684559426,208.9995535667489,238.48645763071477,Cutter,44,660,600,-29.48690406396588,29.486904063965895,60,11,0,10,0,1,0,11:00,10:00,+1H 00M
,Bleier, Richard,542947,L,FC,155,87.3,1965,4.6,0.225009952537304,0.37987263770164786,205.4366187321515,164.02072513953513,Cutter,38,675,750,41.41589359261636,41.41589359261636,-75,11,15,12,30,1,15,11:15,12:30,-1H 15M
,Brogdon, Connor,641401,R,FC,177,88.6,2244,12.2,0.562454152822756,0.6204011567186096,164.50264583222145,186.19752073115225,Cutter,62,750,705,-21.694874898930806,21.69487489893081,45,12,30,11,45,0,45,12:30,11:45,+0H 45M
,Buehler, Walker,621111,R,FC,509,91.6,2623,10.2,0.45420945683290165,0.4612248815507942,196.12781250004076,221.93168274864857,Cutter,46,690,630,-25.803870248607808,25.803870248607836,60,11,30,10,30,1,0,11:30,10:30,+1H 00M
,Chatwood, Tyler,543022,R,FC,212,88.9,2711,5.8,0.24993355594833466,0.2522468555100427,239.88769415901703,278.863295086364,Cutter,25,600,525,-38.97560092734699,38.975600927346974,75,10,0,8,45,1,15,10:00,8:45,+1H 15M
